Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-14T04:32:39.801Z","","","Included","gpt-5.3-codex","No","0","94753","1018240","2897","1115890","Included"
"2026-06-14T04:26:22.376Z","","","Included","gpt-5.3-codex","No","0","308496","791936","13826","1114258","Included"
"2026-06-14T04:25:28.328Z","","","Included","gpt-5.3-codex","No","0","27550","807040","4806","839396","Included"
"2026-06-14T04:22:43.032Z","","","Included","gpt-5.3-codex","No","0","3687","829668","15948","849303","Included"
"2026-06-14T04:21:57.195Z","","","Included","gpt-5.3-codex","No","0","35757","13824","1480","51061","Included"
"2026-06-14T04:20:56.178Z","","","Included","gpt-5.3-codex","No","0","308576","523776","10226","842578","Included"
"2026-06-14T04:18:53.880Z","","","Included","gpt-5.3-codex","No","0","563015","525952","22449","1111416","Included"
"2026-06-14T04:17:56.814Z","","","Included","gpt-5.3-codex","No","0","46644","2560","229","49433","Included"
"2026-06-14T04:17:15.526Z","","","Included","composer-2.5-fast","No","0","63374","75584","1124","140082","Included"
"2026-06-14T04:16:28.595Z","","","Included","composer-2.5-fast","No","0","95384","1933600","19157","2048141","Included"
"2026-06-14T04:13:44.982Z","","","Included","gpt-5.3-codex","No","0","303449","259584","16891","579924","Included"
"2026-06-14T04:08:39.251Z","","","Included","gpt-5.3-codex","No","0","559518","262400","18329","840247","Included"
